,Period,Polarity
0,201701,0.8108108108108109
1,201702,0.8148148148148148
2,201703,1.1333333333333333
3,201704,0.5333333333333333
4,201705,1.6
5,201706,1.1764705882352942
6,201707,0.25
7,201708,0.6
8,201709,0.41935483870967744
9,201710,0.5652173913043478
10,201711,0.4594594594594595
11,201712,0.23529411764705882
12,201801,0.4888888888888889
13,201802,0.7619047619047619
14,201803,0.8431372549019608
15,201804,0.9032258064516129
16,201805,0.6818181818181818
17,201806,0.6571428571428571
18,201807,0.2413793103448276
19,201808,1.6666666666666667
20,201809,-0.5
21,201810,1.0
22,201811,0.15384615384615385
23,201812,0.4444444444444444
24,201901,0.7
25,201902,0.25
26,201903,1.5
27,201904,1.0952380952380953
28,201905,0.75
29,201906,-2.0
30,201907,-0.18518518518518517
31,201908,0.38095238095238093
32,201909,0.6842105263157895
33,201910,0.2222222222222222
34,201911,0.08571428571428572
35,201912,0.19047619047619047
36,202001,1.2916666666666667
37,202002,0.6111111111111112
38,202003,-0.16216216216216217
39,202004,0.5
