,Period,Yıllık Değişim ÜFE,ÜFE (Aylık % Değişim)
5,202004,6.71,1.28
6,202003,8.50,0.87
7,202002,9.26,0.48
8,202001,8.84,1.84
9,201912,7.36,0.69
10,201911,4.26,-0.08
11,201910,1.70,0.17
12,201909,2.45,0.13
13,201908,13.45,-0.59
14,201907,21.66,-0.99
15,201906,25.04,0.09
16,201905,28.71,2.67
17,201904,30.12,2.98
18,201903,29.64,1.58
19,201902,29.59,0.09
20,201901,32.93,0.45
21,201812,33.64,-2.22
22,201811,38.54,-2.53
23,201810,45.01,0.91
24,201809,46.15,10.88
25,201808,32.13,6.60
26,201807,25.00,1.77
27,201806,23.71,3.03
28,201805,20.16,3.79
29,201804,16.37,2.60
30,201803,14.28,1.54
31,201802,13.71,2.68
32,201801,12.14,0.99
33,201712,15.47,1.37
34,201711,17.30,2.02
35,201710,17.28,1.71
36,201709,16.28,0.24
37,201708,16.34,0.85
38,201707,15.45,0.72
39,201706,14.87,0.07
40,201705,15.26,0.52
41,201704,16.37,0.76
42,201703,16.09,1.04
43,201702,15.36,1.26
44,201701,13.69,3.98
