Period,ASACOL
201701,14.4
201702,20.25
201703,34.5
201704,16.8
201705,17.75
201706,13.0
201707,27.8
201708,20.25
201709,29.5
201710,19.4
201711,36.0
201712,23.0
201801,18.25
201802,28.0
201803,24.5
201804,29.2
201805,29.25
201806,36.75
201807,22.8
201808,31.0
201809,20.8
201810,27.0
201811,32.0
201812,28.8
201901,47.0
201902,33.5
201903,29.2
201904,24.0
201905,40.75
201906,34.0
201907,61.25
201908,46.5
201909,47.6
201910,39.25
201911,32.25
201912,30.0
202001,24.25
202002,23.5
202003,21.2
202004,24.0
