Period,Xalfu
201701,26.4
201702,26.5
201703,19.75
201704,19.4
201705,25.5
201706,31.75
201707,18.6
201708,31.25
201709,23.0
201710,23.4
201711,38.25
201712,32.0
201801,33.0
201802,42.25
201803,27.0
201804,28.2
201805,23.75
201806,13.75
201807,40.6
201808,27.0
201809,42.6
201810,47.25
201811,42.0
201812,22.4
201901,24.0
201902,34.5
201903,42.4
201904,43.5
201905,35.25
201906,24.4
201907,37.25
201908,69.0
201909,34.0
201910,33.75
201911,26.5
201912,38.4
202001,43.5
202002,35.5
202003,34.2
202004,22.75
