Period,hastane randevu
201701,69.2
201702,75.25
201703,72.0
201704,68.6
201705,59.75
201706,53.25
201707,76.2
201708,62.25
201709,87.25
201710,77.2
201711,77.25
201712,71.2
201801,82.25
201802,91.0
201803,79.5
201804,75.0
201805,58.5
201806,62.25
201807,72.8
201808,60.5
201809,71.6
201810,65.25
201811,68.25
201812,70.2
201901,82.5
201902,82.75
201903,73.4
201904,68.0
201905,50.75
201906,69.0
201907,68.5
201908,78.75
201909,73.2
201910,80.5
201911,83.0
201912,79.6
202001,89.75
202002,77.25
202003,41.0
202004,15.5
