Period,SelcukEcza_ADS,SelcukEcza_BDS,SelcukEcza_TPS,SelcukEcza_TAS,NetSales_mioTL
201701,26,77,6399,2258,2675.29
201702,26,77,6399,2258,2675.29
201703,26,77,6399,2258,2675.29
201704,27,76,6315,2258,2564.72
201705,27,76,6315,2258,2564.72
201706,27,76,6315,2258,2564.72
201707,27,77,6313,2305,2612.9
201708,27,77,6313,2305,2612.9
201709,27,77,6313,2305,2612.9
201710,27,78,6537,2417,2833.42
201711,27,78,6537,2417,2833.42
201712,27,78,6537,2417,2833.42
201801,27,79,6642,2510,3284.1
201802,27,79,6642,2510,3284.1
201803,27,79,6642,2510,3284.1
201804,27,84,6754,2585,3262.18
201805,27,84,6754,2585,3262.18
201806,27,84,6754,2585,3262.18
201807,27,85,6853,2584,3346.34
201808,27,85,6853,2584,3346.34
201809,27,85,6853,2584,3346.34
201810,27,86,6481,2531,3574.73
201811,27,86,6481,2531,3574.73
201812,27,86,6481,2531,3574.73
201901,27,86,6425,2522,4163.08
201902,27,86,6425,2522,4163.08
201903,27,86,6425,2522,4163.08
201904,27,86,6356,2469,4294.99
201905,27,86,6356,2469,4294.99
201906,27,86,6356,2469,4294.99
201907,27,86,6300,2469,4449.54
201908,27,86,6300,2469,4449.54
201909,27,86,6300,2469,4449.54
201910,27,85,6340,2418,4901.06
201911,27,85,6340,2418,4901.06
201912,27,85,6340,2418,4901.06
202001,27,86,6440,2464,5516.12
202002,27,86,6440,2464,5516.12
202003,27,86,6440,2464,5516.12
202004,27,86,6425,2412,4714.07
