Period,USD/TRY_Price,USD/TRY_Change %,EUR/TRY_Price,EUR/TRY_Change %,EUR/USD_Price,EUR/USD_Change %,mw_USD
201701,3.7734,6.96%,4.0743,9.83%,1.0798,2.68%,372.0941326
201702,3.6472,-3.34%,3.8577,-5.32%,1.0577,-2.05%,384.9692915
201703,3.6352,-0.33%,3.8726,0.39%,1.0652,0.71%,386.2400968
201704,3.5516,-2.30%,3.8702,-0.06%,1.0897,2.30%,395.3316815
201705,3.527,-0.69%,3.9663,2.48%,1.1243,3.18%,398.0890275
201706,3.5212,-0.16%,4.0233,1.44%,1.1426,1.63%,398.7447461
201707,3.5193,-0.05%,4.1676,3.59%,1.1842,3.64%,398.9600205
201708,3.4527,-1.89%,4.1121,-1.33%,1.191,0.57%,406.6556608
201709,3.5637,3.21%,4.2101,2.38%,1.1814,-0.81%,393.989393
201710,3.792,6.41%,4.4162,4.90%,1.1646,-1.42%,370.2689873
201711,3.919,3.35%,4.6651,5.64%,1.1904,2.22%,358.2699668
201712,3.79,-3.29%,4.5473,-2.53%,1.1998,0.79%,370.4643799
201801,3.7555,-0.91%,4.6646,2.58%,1.2421,3.53%,426.8406337
201802,3.7988,1.15%,4.6322,-0.69%,1.2194,-1.83%,421.9753606
201803,3.9552,4.12%,4.8738,5.22%,1.2323,1.06%,405.2892395
201804,4.0617,2.69%,4.9059,0.66%,1.2079,-1.98%,394.6623335
201805,4.5245,11.39%,5.29,7.83%,1.1692,-3.20%,354.2932921
201806,4.5872,1.39%,5.3601,1.33%,1.1685,-0.06%,349.4506453
201807,4.9142,7.13%,5.7454,7.19%,1.1691,0.05%,326.19755
201808,6.538,33.04%,7.5861,32.04%,1.1601,-0.77%,245.1820128
201809,6.056,-7.37%,7.0304,-7.33%,1.1609,0.07%,264.6961691
201810,5.5835,-7.80%,6.3159,-10.16%,1.1312,-2.56%,287.0959076
201811,5.2128,-6.64%,5.8994,-6.59%,1.1317,0.04%,307.5122775
201812,5.2887,1.46%,6.0664,2.83%,1.147,1.35%,303.0990603
201901,5.1645,-2.35%,5.9118,-2.55%,1.1446,-0.21%,391.1317649
201902,5.3371,3.34%,6.0689,2.66%,1.1371,-0.66%,378.4826966
201903,5.5555,4.09%,6.2321,2.69%,1.1218,-1.35%,363.603636
201904,5.9656,7.38%,6.691,7.36%,1.1217,-0.01%,338.6080193
201905,5.8382,-2.14%,6.5309,-2.39%,1.1169,-0.43%,345.9970539
201906,5.7921,-0.79%,6.5856,0.84%,1.137,1.80%,348.7508848
201907,5.5864,-3.55%,6.1875,-6.05%,1.1076,-2.59%,361.5924388
201908,5.8306,4.37%,6.4084,3.57%,1.0991,-0.76%,346.4480499
201909,5.6489,-3.12%,6.1573,-3.92%,1.09,-0.83%,357.5917435
201910,5.713,1.13%,6.3711,3.47%,1.1152,2.31%,353.5795554
201911,5.747,0.60%,6.3315,-0.62%,1.1017,-1.21%,351.4877327
201912,5.9489,3.51%,6.6699,5.34%,1.1212,1.77%,339.5585739
202001,5.9822,0.56%,6.6367,-0.50%,1.1094,-1.05%,388.6028551
202002,6.2427,4.35%,6.8835,3.72%,1.1027,-0.61%,372.386948
202003,6.6143,5.95%,7.2962,6.00%,1.1031,0.04%,351.4657636
202004,6.9864,5.63%,7.655,4.92%,1.0957,-0.67%,332.7464789
