Province,MostSoldProduct
ADANA,PRODUCT_B
ADIYAMAN,PRODUCT_C
AFYON,PRODUCT_B
AKSARAY,PRODUCT_B
AMASYA,PRODUCT_B
ANKARA,PRODUCT_B
ANTALYA,PRODUCT_B
ARDAHAN,PRODUCT_C
ARTVİN,PRODUCT_C
AYDIN,PRODUCT_B
AĞRI,PRODUCT_B
BALIKESİR,PRODUCT_B
BARTIN,PRODUCT_B
BATMAN,PRODUCT_C
BAYBURT,PRODUCT_B
BINGOL,PRODUCT_C
BITLIS,PRODUCT_B
BOLU,PRODUCT_B
BURDUR,PRODUCT_B
BURSA,PRODUCT_B
BİLECİK,PRODUCT_B
CANAKKALE,PRODUCT_B
DENİZLİ,PRODUCT_B
DÜZCE,PRODUCT_B
DİYARBAKIR,PRODUCT_C
EDİRNE,PRODUCT_B
ELAZIĞ,PRODUCT_B
ERZURUM,PRODUCT_B
ERZİNCAN,PRODUCT_C
ESKİŞEHİR,PRODUCT_B
GAZİANTEP,PRODUCT_B
GÜMÜŞHANE,PRODUCT_C
GİRESUN,PRODUCT_B
HAKKARİ,PRODUCT_C
HATAY,PRODUCT_B
ISPARTA,PRODUCT_B
ISTANBUL,PRODUCT_B
IĞDIR,PRODUCT_B
KAHRAMANMARAŞ,PRODUCT_C
KARABÜK,PRODUCT_B
KARAMAN,PRODUCT_B
KARS,PRODUCT_C
KASTAMONU,PRODUCT_B
KAYSERİ,PRODUCT_B
KIRIKKALE,PRODUCT_B
KIRKLARELİ,PRODUCT_B
KIRŞEHİR,PRODUCT_B
KOCAELİ,PRODUCT_B
KONYA,PRODUCT_B
KÜTAHYA,PRODUCT_B
KİLİS,PRODUCT_B
MALATYA,PRODUCT_B
MANİSA,PRODUCT_B
MARDIN,PRODUCT_C
MUĞLA,PRODUCT_B
MUŞ,PRODUCT_C
NEVŞEHİR,PRODUCT_B
NİĞDE,PRODUCT_B
ORDU,PRODUCT_B
OSMANİYE,PRODUCT_B
RİZE,PRODUCT_C
SAKARYA,PRODUCT_B
SAMSUN,PRODUCT_B
SİNOP,PRODUCT_B
SİVAS,PRODUCT_B
SİİRT,PRODUCT_C
TEKİRDAĞ,PRODUCT_B
TOKAT,PRODUCT_B
TRABZON,PRODUCT_B
TUNCELİ,PRODUCT_C
UŞAK,PRODUCT_B
VAN,PRODUCT_C
YALOVA,PRODUCT_C
YOZGAT,PRODUCT_B
ZONGULDAK,PRODUCT_B
ÇANKIRI,PRODUCT_B
ÇORUM,PRODUCT_B
İZMİR,PRODUCT_B
İÇEL,PRODUCT_B
ŞANLIURFA,PRODUCT_C
ŞIRNAK,PRODUCT_B
