Period,sentiment_analysis_acik_eczane_polarity,sentiment_analysis_ilac_polarity,sentiment_analysis_mhrs_polarity,sentiment_analysis_vitamin_polarity
201701,0.416666666666667,-0.125,0.810810810810811,-0.615384615384615
201702,0.25,-0.063492063492064,0.814814814814815,-0.111111111111111
201703,1,-0.140350877192982,1.13333333333333,-0.5
201704,1,-0.070175438596491,0.533333333333333,-0.333333333333333
201705,0.777777777777778,-0.241935483870968,1.6,-0.076923076923077
201706,1.35714285714286,-0.075757575757576,1.17647058823529,-0.52
201707,0.666666666666667,0.175438596491228,0.25,0.086956521739131
201708,0.92,-0.101449275362319,0.6,0.181818181818182
201709,0.75,0.092307692307692,0.419354838709678,-0.173913043478261
201710,1.5,-0.222222222222222,0.565217391304348,-0.476190476190476
201711,0.818181818181818,-0.041095890410959,0.45945945945946,-0.394736842105263
201712,0.941176470588235,0.114285714285714,0.235294117647059,-0.555555555555556
201801,1.57142857142857,-0.039473684210526,0.488888888888889,0
201802,0.888888888888889,-0.294871794871795,0.761904761904762,-0.766666666666667
201803,0.615384615384615,-0.094594594594595,0.843137254901961,-0.346153846153846
201804,2,-0.086956521739131,0.903225806451613,-0.086956521739131
201805,0.75,0.057142857142857,0.681818181818182,-0.25
201806,1,-0.103896103896104,0.657142857142857,-0.45
201807,0.5625,-0.5,0.241379310344828,-0.161290322580645
201808,1,-0.161764705882353,1.66666666666667,0.041666666666667
201809,1.5,-0.25,-0.5,-0.318181818181818
201810,1.11111111111111,-0.173333333333333,1,-0.394736842105263
201811,1.72727272727273,-0.258064516129032,0.153846153846154,-0.108108108108108
201812,1,-0.25,0.444444444444444,-0.027777777777778
201901,1.1875,-0.060606060606061,0.7,-0.28
201902,1.78571428571429,-0.277777777777778,0.25,-0.233333333333333
201903,0.85,-0.015625,1.5,-0.368421052631579
201904,1.05,0.038461538461539,1.0952380952381,-0.136363636363636
201905,0.5,0.236111111111111,0.75,-0.111111111111111
201906,0.925925925925926,-0.17910447761194,-2,-0.304347826086957
201907,0.444444444444444,-0.152777777777778,-0.185185185185185,-0.105263157894737
201908,1,0.016393442622951,0.380952380952381,0.05
201909,1.1,0.298507462686567,0.68421052631579,0
201910,0.958333333333333,-0.044117647058824,0.222222222222222,-0.34375
201911,1.33333333333333,-0.246753246753247,0.085714285714286,-0.454545454545455
201912,0.619047619047619,0,0.190476190476191,-0.166666666666667
202001,1.15625,-0.128205128205128,1.29166666666667,-0.066666666666667
202002,1,-0.532467532467532,0.611111111111111,-0.484848484848485
202003,0.693877551020408,-0.048192771084337,-0.162162162162162,-0.619047619047619
202004,0.833333333333333,-0.253521126760563,0.5,-0.382352941176471
