Province,life_expectancy
Adana,77.5
Adıyaman,79.7
Afyonkarahisar,77.1
Ağrı,76.8
Amasya,78.5
Ankara,79.4
Antalya,79.3
Artvin,79.3
Aydın,78.5
Balıkesir,77.5
Bilecik,77.8
Bingöl,78.8
Bitlis,78.4
Bolu,79.2
Burdur,79.2
Bursa,77.7
Çanakkale,78.0
Çankırı,78.0
Çorum,78.6
Denizli,78.2
Diyarbakır,78.9
Edirne,77.4
Elazığ,78.6
Erzincan,79.2
Erzurum,77.3
Eskişehir,78.0
Gaziantep,76.9
Giresun,79.7
Gümüşhane,79.8
Hakkari,77.1
Hatay,77.9
Isparta,78.7
Mersin,78.2
İstanbul,78.7
İzmir,78.6
Kars,77.3
Kastamonu,77.4
Kayseri,77.9
Kırklareli,77.7
Kırşehir,78.5
Kocaeli,78.1
Konya,78.3
Kütahya,76.8
Malatya,79.0
Manisa,77.1
Kahramanmaraş,79.2
Mardin,79.8
Muğla,80.3
Muş,77.5
Nevşehir,77.8
Niğde,77.6
Ordu,79.3
Rize,79.0
Sakarya,77.5
Samsun,78.1
Siirt,78.4
Sinop,78.4
Sivas,78.0
Tekirdağ,77.6
Tokat,77.5
Trabzon,80.0
Tunceli,80.7
Şanlıurfa,77.7
Uşak,78.1
Van,77.0
Yozgat,77.5
Zonguldak,77.8
Aksaray,78.3
Bayburt,79.1
Karaman,78.7
Kırıkkale,77.8
Batman,79.3
Şırnak,77.6
Bartın,77.9
Ardahan,76.9
Iğdır,78.8
Yalova,78.6
Karabük,78.4
Kilis,76.1
Osmaniye,78.0
Düzce,77.5
