Province,pop_growth_rate_2016_2017,pop_growth_rate_2017_2018,pop_growth_rate_2018_2019,pop_density_2017,pop_density_2018,pop_density_2019
Adana,6.7,1.6,8.0,  159,  160,  161
Adıyaman,7.5,15.2,3.1,  87,  89,  89
Afyonkarahisar,1.6,13.7,5.4,  50,  51,  51
Ağrı,-11.1,6.3,-6.4,  47,  47,  47
Amasya,10.8,22.8,0.9,  58,  59,  59
Ankara,18.3,10.8,24.2,  222,  224,  230
Antalya,15.3,25.9,34.6,  114,  117,  121
Artvin,-11.5,46.3,-18.2,  23,  24,  23
Aydın,11.7,15.5,12.0,  138,  140,  142
Balıkesir,7.2,17.9,1.7,  84,  86,  86
Bilecik,15.4,7.9,-18.2,  52,  52,  51
Bingöl,14.0,28.3,-5.0,  33,  34,  34
Bitlis,0.7,22.9,-3.7,  49,  50,  50
Bolu,10.9,28.1,13.7,  36,  37,  38
Burdur,12.8,19.3,3.2,  39,  39,  40
Bursa,12.1,19.5,20.4,  282,  287,  293
Çanakkale,20.2,19.1,2.8,  53,  54,  55
Çankırı,11.9,150.8,-99.9,  25,  29,  26
Çorum,1.1,15.1,-10.5,  41,  42,  41
Denizli,12.9,8.8,9.1,  87,  88,  89
Diyarbakır,15.9,18.9,13.7,  113,  115,  117
Edirne,12.7,11.4,5.8,  67,  68,  68
Elazığ,8.4,20.3,-7.7,  69,  70,  70
Erzincan,24.0,19.3,-5.5,  20,  20,  20
Erzurum,-2.0,9.6,-7.6,  30,  30,  30
Eskişehir,18.5,12.2,18.5,  62,  63,  64
Gaziantep,15.7,11.4,19.9,  294,  297,  303
Giresun,-16.0,37.1,-12.2,  64,  66,  66
Gümüşhane,-10.9,-44.6,10.8,  26,  25,  26
Hakkari,29.2,38.1,-19.3,  38,  40,  39
Hatay,12.8,21.7,11.8,  270,  276,  279
Isparta,15.1,17.3,7.9,  52,  53,  54
Mersin,11.3,11.4,14.2,  116,  117,  119
İstanbul,15.1,2.6,29.5, 2 892, 2 900, 2 987
İzmir,13.2,9.5,10.8,  356,  360,  364
Kars,-7.4,4.2,-12.1,  28,  29,  28
Kastamonu,-12.2,29.1,-10.4,  28,  29,  29
Kayseri,13.0,9.4,12.7,  81,  82,  83
Kırklareli,12.3,13.4,2.7,  57,  57,  58
Kırşehir,19.6,30.8,4.4,  37,  38,  38
Kocaeli,28.3,12.2,24.2,  521,  528,  541
Konya,8.7,11.6,12.1,  56,  57,  57
Kütahya,-2.4,9.9,2.3,  48,  48,  48
Malatya,6.9,13.1,3.9,  67,  68,  68
Manisa,11.5,11.7,7.6,  108,  109,  110
Kahramanmaraş,13.4,15.2,8.0,  79,  80,  80
Mardin,16.8,23.8,11.5,  92,  94,  95
Muğla,16.1,30.2,16.1,  73,  75,  77
Muş,-4.8,8.5,2.0,  50,  51,  51
Nevşehir,5.0,20.2,15.5,  54,  55,  56
Niğde,3.6,33.4,-5.1,  48,  50,  49
Ordu,-11.0,39.1,-23.2,  125,  130,  127
Rize,0.0,51.7,-15.6,  84,  89,  88
Sakarya,13.5,20.5,18.6,  205,  209,  213
Samsun,13.1,17.2,9.6,  145,  147,  148
Siirt,6.2,22.2,-4.2,  59,  61,  60
Sinop,9.4,57.6,-6.8,  36,  38,  38
Sivas,0.1,39.9,-11.9,  22,  23,  22
Tekirdağ,32.9,24.0,24.4,  159,  163,  167
Tokat,-1.0,17.4,0.2,  60,  62,  62
Trabzon,8.9,27.1,1.3,  169,  173,  173
Tunceli,3.7,66.8,-40.9,  11,  12,  11
Şanlıurfa,23.0,24.9,18.4,  106,  108,  111
Uşak,17.2,6.9,8.1,  68,  69,  69
Van,6.1,15.1,11.5,  57,  58,  59
Yozgat,-5.7,15.0,-8.9,  30,  30,  30
Zonguldak,-1.1,4.7,-6.1,  181,  182,  180
Aksaray,14.3,24.0,10.1,  53,  54,  55
Bayburt,-114.3,22.8,30.7,  22,  22,  23
Karaman,4.3,21.0,5.4,  28,  28,  29
Kırıkkale,2.7,27.8,-12.6,  61,  63,  62
Batman,13.9,23.4,15.8,  126,  129,  131
Şırnak,39.4,40.8,10.3,  70,  73,  74
Bartın,6.2,27.6,-3.8,  93,  96,  95
Ardahan,-12.7,18.5,-16.2,  20,  20,  20
Iğdır,10.3,13.7,10.0,  54,  55,  56
Yalova,38.7,43.0,32.8,  297,  310,  320
Karabük,8.7,14.5,1.8,  59,  60,  60
Kilis,41.1,44.6,-0.4,  95,  100,  100
Osmaniye,10.6,12.6,8.1,  169,  171,  172
Düzce,19.4,26.7,11.1,  147,  151,  153
